fare_id,route_id,origin_id,destination_id,contains_id
1,111,,,
1,043,,,
1,104,,,
1,106,,,
1,045,,,
1,057,,,
1,033,,,
1,044,,,
1,113,,,
1,107,,,
1,013,,,
1,011,,,
1,003,,,
1,004,,,
1,018,,,
1,006,,,
1,119,,,
1,029,,,
1,009,,,
1,101,,,
1,115,,,
1,034,,,
1,001,,,
1,090,,,
1,064,,,
1,016,,,
1,120,,,
1,058,,,
1,105,,,
1,027,,,
1,118,,,
1,110,,,
1,050,,,
1,109,,,
1,102,,,
1,008,,,
1,103,,,
1,116,,,
1,037,,,
1,005,,,
1,026,,,
1,114,,,
1,002,,,
1,112,,,
1,017,,,
1,047,,,
1,015,,,
1,036,,,
1,117,,,
1,025,,,
1,041,,,
1,014,,,
1,012,,,
1,121,,,
1,023,,,
1,020,,,
3,800,,,
2,030,,,
2,032,,,
2,031,,,
6,918,,,
6,962,,,
6,967,,,
6,961,,,
6,960,,,
6,922,,,
6,919,,,
